Entity,Year,Code,Renewables (% equivalent primary energy),increase,world_avg,world_avg_diff,world_avg_change,Hydro (% equivalent primary energy),Wind (% equivalent primary energy),Solar (% equivalent primary energy),Other Renewables (% equivalent primary energy),Hydro (% renewable),Wind (% renewable),Solar (% renewable),Others (% renewable)
Morocco,1966,MAR,13.343615,-6.883483000000002,6.5335774,6.810037599999999,20.13248,13.343615,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Netherlands,1966,NLD,0.0,0.0,6.5335774,-6.5335774,6.313079369999999,0.0,0.0,0.0,0.0,,,,
New Zealand,1966,NZL,39.54505,0.29227700000000567,6.5335774,33.011472600000005,15.883623999999994,35.286392,0.0,0.0,4.258658000000004,89.2,0.0,0.0,10.8
Norway,1966,NOR,65.3991,-2.4808599999999927,6.5335774,58.865522600000006,10.42223700000001,65.3991,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Oman,1966,OMN,0.0,0.0,6.5335774,-6.5335774,7.473425700000001,0.0,0.0,0.0,0.0,,,,
Pakistan,1966,PAK,7.8401713,-0.05876120000000018,6.5335774,1.3065938999999993,16.7265974,7.8401713,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Peru,1966,PER,12.172948,-1.5673790000000007,6.5335774,5.6393705999999995,23.625140899999998,12.172948,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Philippines,1966,PHL,7.593555,-0.7723689999999994,6.5335774,1.0599775999999999,20.1610043,7.593555,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Poland,1966,POL,0.35020763,-0.001889289999999988,6.5335774,-6.1833697700000005,3.4062516,0.33487555,0.0,0.0,0.01533207999999997,95.6,0.0,0.0,4.4
Portugal,1966,PRT,29.76638,4.851680000000002,6.5335774,23.2328026,23.510310999999998,28.596142,0.0,0.0,1.1702380000000012,96.1,0.0,0.0,3.9
Qatar,1966,QAT,0.0,0.0,6.5335774,-6.5335774,7.473425700000001,0.0,0.0,0.0,0.0,,,,
Romania,1966,ROU,1.0295304,-0.03668819999999995,6.5335774,-5.504047,13.522810999999999,1.0295304,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Saudi Arabia,1966,SAU,0.0,0.0,6.5335774,-6.5335774,7.473425700000001,0.0,0.0,0.0,0.0,,,,
Singapore,1966,SGP,0.0,0.0,6.5335774,-6.5335774,7.473425700000001,0.0,0.0,0.0,0.0,,,,
Slovakia,1966,SVK,5.6959925,-0.45666209999999996,6.5335774,-0.8375849000000004,5.1299779999999995,5.6959925,0.0,0.0,0.0,100.0,0.0,0.0,0.0
South Africa,1966,ZAF,0.029866168,-0.0010202850000000027,6.5335774,-6.503711232000001,5.038994999999999,0.029866168,0.0,0.0,0.0,100.0,0.0,0.0,0.0
South Korea,1966,KOR,3.2099154,0.4021003999999997,6.5335774,-3.3236620000000006,6.9886766,3.2099154,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Spain,1966,ESP,21.110806,3.857367,6.5335774,14.5772286,16.8508568,21.110806,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Sri Lanka,1966,LKA,10.94352,0.6190499999999997,6.5335774,4.409942599999999,23.962220000000002,10.94352,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Sweden,1966,SWE,32.10004,-2.8334159999999997,6.5335774,25.5664626,20.089769000000004,32.10004,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Switzerland,1966,CHE,41.49439,2.443550000000002,6.5335774,34.960812600000004,17.383587,41.49439,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Taiwan,1966,TWN,10.439054,-0.42937599999999954,6.5335774,3.9054766,16.373403300000003,10.439054,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Thailand,1966,THA,8.597767,0.49907099999999893,6.5335774,2.064189599999999,9.7342543,8.597767,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Trinidad and Tobago,1966,TTO,0.0,0.0,6.5335774,-6.5335774,7.616215603000001,0.0,0.0,0.0,0.0,,,,
Turkey,1966,TUR,6.9609694,-0.43512960000000067,6.5335774,0.42739199999999933,11.101193799999999,6.5897694,0.0,0.0,0.3712,94.7,0.0,0.0,5.3
United Arab Emirates,1966,ARE,0.0,0.0,6.5335774,-6.5335774,7.473425700000001,0.0,0.0,0.0,0.0,,,,
United Kingdom,1966,GBR,0.57627946,-0.012507800000000069,6.5335774,-5.95729794,13.7313811,0.57627946,0.0,0.0,0.0,100.0,0.0,0.0,0.0
United States,1966,USA,4.171402,-0.19746800000000064,6.5335774,-2.362175400000001,2.550483999999999,3.8774655,0.0,0.0,0.2939364999999996,93.0,0.0,0.0,7.0
Venezuela,1966,VEN,2.1339145,0.019846699999999995,6.5335774,-4.399662900000001,21.347299900000003,2.1339145,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Vietnam,1966,VNM,2.240063,-1.1732033999999998,6.5335774,-4.2935144,22.283662800000002,2.240063,0.0,0.0,0.0,100.0,0.0,0.0,0.0
World,1966,OWID_WRL,6.5335774,0.07905910000000027,6.5335774,0.0,0.0,6.378031,0.0,0.0,0.15554640000000042,97.6,0.0,0.0,2.4
